"Lodobren","Vznamka","Scrna_lista","Sst_odobritev","Dcrna_lista","Dst_pogodb","Vletnik","Vmpc","Veurotax","Lpolog","Lobrestna_mera","Splacilni_indeks","Szapadlo_neplacano","Sobligo","Ltrajanje_meseci","Sneto_placa","Srazpolozljiv_od_z_malico_in_prevozom","Sstarost","Strajanje_zaposlitve","Sposta","Sdrzavljanstvo","Sdrzavljanstvo_eu","SDtip","SDst_zaposlenih","SDdoba_poslovanja","SDprihodki","SDodstotek_kapitala_v_bilancni_vsoti","SDposlovni_izid","SDblokada_racuna","SDinsolventnost","SDcrna_lista"
"NE","VOLKSWAGEN","NE",0,"NE",37,10,5400,-10.59,20,7.59,0.32,0,4482,36,556.07,458.43,32,"NEDOLOCEN CAS","SI-3","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",283.44,23,67627709,37.75,1825123,"NE","NE","NE"
"DA","TOYOTA","NE",1,"NE",3144,4,9349.99,4.39,60.96,7.59,0,0,4406.4,48,726.98,1033.84,52,"NEDOLOCEN CAS","SI-1","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",80.8,17,2474845,29.41,55987,"NE","NE","NE"
"DA","KIA","NE",0,"NE",7542,0,15686,0,19.13,4.7,NA,NA,12686.01,84,690.95,539.93,62,"UPOKOJENEC","SI-1","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"NE","HYUNDAI","NE",0,"NE",1432,0,15890,0,56.64,6.84,NA,NA,8625,60,1036.86,980.79,32,"DOLOCEN CAS","SI-4","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"DA","FIAT","NE",0,"NE",527,1,15500,-7.36,10,6.84,NA,NA,18278.4,84,1055,770.36,40,"NEDOLOCEN CAS","SI-2","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",214,25,106450113,39.55,671036,"NE","NE","NE"
"DA","MAZDA","NE",1,"NE",450,7,8000,1.94,20,5.59,0.03,0,7424.4,60,603.32,1007.94,33,"NEDOLOCEN CAS","SI-4","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",23.75,6,2788694,18.83,93383,"NE","NE","NE"
"DA","FORD","NE",0,"NE",1432,0,12700,0,10,3.49,0.17,0,12897.36,84,1301.98,925.36,51,"NEDOLOCEN CAS","SI-4","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"DA","RENAULT","NE",0,"NE",1666,5,6590,-18.71,22.76,7.59,NA,NA,6251.4,60,628,527.32,43,"NEDOLOCEN CAS","SI-2","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"DA","HYUNDAI","NE",0,"NE",586,0,18010,0,38.87,6.84,NA,NA,11730.4,60,1613.96,1557.96,36,"NEDOLOCEN CAS","SI-4","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",1044,25,68975000,57.52,670000,"NE","NE","NE"
"NE","HONDA","NE",0,"NE",21,0,27749,0,63.96,5.94,NA,NA,10814.36,12,1037.74,136.54,57,"UPOKOJENEC","SI-9","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"DA","TOYOTA","NE",0,"NE",3144,0,10190,0,19.63,5.85,1.48,0,8291.9,84,995.98,735.25,46,"NEDOLOCEN CAS","SI-1","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",0.66,23,79762,33.95,2569.5,"NE","NE","NE"
"NE","FORD","NE",2,"DA",7872,2,7500,6.64,26.67,5.59,8.42,0,6402.6,60,810,827.79,40,"NEDOLOCEN CAS","SI-2","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",92.85,25,18116034,-11.51,-1648500,"NE","DA","NE"
"DA","RENAULT","NE",0,"NE",8,9,3500,9.97,31.43,7.59,NA,NA,2470,24,560.43,640.35,30,"NEDOLOCEN CAS","SI-3","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",4.81,5,388908,75.51,7143,"NE","NE","NE"
"DA","FIAT","NE",0,"NE",699,0,7990,0,37.55,6.84,0.03,0,5229.7,60,602.96,584.95,47,"NEDOLOCEN CAS","SI-6","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",6,23,156522,28.34,-6322,"NE","NE","NE"
"NE","FORD","NE",0,"NE",2924,0,30900,0,38.84,6.04,NA,NA,23914.8,72,1532.02,1389.95,40,"DOLOCEN CAS","SI-3","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",0,0,0,0,0,"NE","NE","NE"
"NE","INFO","NE",0,"NE",1,5,14522,0,20.66,7.59,1.46,0,13023.99,84,609.75,505.76,36,"NEDOLOCEN CAS","SI-4","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",2683,25,514535953,13.99,-48991710,"NE","DA","NE"
"DA","FIAT","NE",0,"NE",144,0,11990,0,11.68,6.84,NA,NA,10829.8,84,1003.41,1022.54,38,"NEDOLOCEN CAS","SI-1","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"NE","AUDI","NE",0,"NE",95,10,7300,5.77,27.4,7.59,NA,NA,6147.72,36,730,640.79,26,"NEDOLOCEN CAS","SI-1","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",1064,13,231497754,28.66,8193234,"NE","NE","NE"
